x,y,orientation,direction
32.4,26.0,38.75,right
31.95,24.65,37.65,right
33.1,24.5,36.51,right
32.7,24.3,36.62,right
32.55,22.95,35.19,right
32.5,21.95,34.03,right
32.45,24.35,36.88,right
32.8,23.8,35.97,right
32.1,22.75,35.33,right
33.3,22.65,34.22,right
32.55,22.8,35.01,right
33.35,22.7,34.24,right
46.05,0.0,0.0,forward
46.35,-0.8499999999999999,-2.1,forward
46.55,1.225,3.01,forward
45.9,1.2,3.0,forward
45.05,-1.05,-2.67,forward
46.625,-0.65,-1.6,forward
46.4,0.0,0.0,forward
46.125,0.2,0.5,forward
46.0,-1.3,-3.24,forward
46.0,0.625,1.56,forward
45.99,0.625,1.56,forward
46.05,-0.375,-0.93,forward
46.1,1.375,3.42,forward
45.36,0.5749999999999998,1.45,forward
45.335,1.125,2.84,forward
45.8,-1.025,-2.56,forward
46.2,0.8,1.98,forward
45.175,-0.2999999999999999,-0.76,forward
45.275,0.55,1.39,forward
45.35,0.55,1.39,forward
45.35,-0.1499999999999999,-0.38,forward
46.7,0.05,0.12,forward
45.65,-0.525,-1.32,forward
46.6,0.1499999999999999,0.37,forward
30.25,-23.5,-75.68,left
29.65,-24.975,-80.22,left
30.15,-24.425,-78.02,left
30.675,-23.75,-75.5,left
29.175,-24.375,-79.76,left
29.475,-24.125,-78.6,left
29.7,-24.0,-77.88,left
29.175,-24.4,-79.81,left
29.575,-24.1,-78.35,left
30.225,-24.625,-78.34,left
29.475,-25.05,-80.72,left
29.95,-24.75,-79.14,left
30.225,-25.275,-79.81,left
30.375,-24.0,-76.63,left
30.35,-24.0,-76.67,left
30.355,-24.0,-76.66,left
29.5,-24.9,-80.33,left
30.38,-24.0,-76.62,left
29.925,-24.45,-78.5,left
30.475,-22.75,-73.48,left
30.325,-24.0,-76.72,left
30.4,-23.95,-76.46,left
30.1,-23.75,-76.55,left
30.45,-25.075,-78.94,left
29.85,-24.575,-78.93,left
29.45,-24.125,-78.65,left
29.675,24.975,80.17,right
30.275,23.75,76.23,right
30.05,24.0,77.23,right
29.55,23.85,77.81,right
29.55,23.55,77.11,right
30.05,24.6,78.61,right
29.5,24.525,79.48,right
29.9,24.225,78.03,right
28.95,26.125,84.13,right
29.975,24.925,79.49,right
29.675,24.1,78.16,right
31.55,22.35,70.63,right
30.825,23.5,74.64,right
29.425,24.275,79.04,right
29.275,24.45,79.74,right
29.95,24.375,78.28,right
30.25,24.55,78.12,right
29.85,24.775,79.38,right
28.95,26.125,84.13,right
29.075,26.125,83.88,right
29.2,25.65,82.59,right
30.075,24.75,78.9,right
29.9,24.35,78.32,right
29.5,24.75,79.99,right
29.575,24.65,79.62,right
30.35,24.95,78.85,right
